,'t',x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30
62,39.7861527603279,4.5414636913727,4.54146368595444,4.54146368932753,4.54146369929509,4.541463698532,4.54146370842386,4.54146368274943,4.54146369304994,-1.74172160346732,4.54146369516926,0.20017550682282,0.767959695377592,-0.150225524386197,-0.48101585811757,-0.1005267293412,-0.285503193771575,0.453178452612572,0.749650357526177,0.234866687034031,0.354055708152967,0.275837754697373,0.202965936462245,0.584843445444102,0.151765303241473,-0.0750250871893083,-0.47212368594551,0.636035107436752,-0.340718503790111,-0.618431029593021,-0.148717777670332
63,40.9403981986762,4.54146369279285,4.54146368967152,4.54146369164716,4.54146369741367,4.54146369693097,4.54146370261514,4.54146368776969,4.54146369381863,-1.74172160724962,4.54146369499999,0.200820543129523,0.768065316425192,-0.15059951346816,-0.481014233876739,-0.0999680206095425,-0.285977606907835,0.452701628455213,0.74958589528706,0.234275349894397,0.354725743580508,0.276208966152481,0.203103794924829,0.58436521861896,0.151167422490724,-0.0748189272680364,-0.471469181763089,0.636435329048178,-0.341030402071113,-0.61845868167399,-0.14907207536528
64,42.0714516899444,4.54146369364493,4.54146369188939,4.54146369301801,4.54146369627482,4.54146369597926,4.54146369916887,4.54146369078994,4.54146369425426,-1.74172160950492,4.54146369489696,0.201311585519536,0.768179858613436,-0.151047108896716,-0.481007212876922,-0.0990556249437863,-0.286395812396046,0.452358394025981,0.749701770913397,0.233615800599116,0.354953451351622,0.276097461936712,0.203262786520562,0.583861650285863,0.150685472045104,-0.0744617893854016,-0.470936653130959,0.636932247878868,-0.341403616388797,-0.618504149438077,-0.149101947230212
65,43.2501295676111,4.54146369414372,4.54146369317838,4.54146369380763,4.54146369560367,4.54146369542771,4.541463697177,4.54146369255861,4.5414636944945,-1.74172161081481,4.54146369483608,0.201909992170697,0.768280728352707,-0.151385196461549,-0.481004534946553,-0.0985635385863344,-0.286817630431021,0.451911718457364,0.749632313078272,0.233076676016444,0.355574574259591,0.276446223497096,0.20338681171404,0.583423173228315,0.150140266642182,-0.0742754654565127,-0.470340513040322,0.637298405316758,-0.34169684569981,-0.618524298632485,-0.149426294475598
66,44.4753074678209,4.54146369441412,4.5414636938764,4.54146369423156,4.54146369523559,4.54146369513127,4.54146369610373,4.54146369352348,4.54146369461814,-1.7417216115239,4.54146369480268,0.202312304888951,0.768383767039058,-0.151777335912008,-0.480998471399459,-0.0977320483617287,-0.287159368703716,0.451629422253745,0.749754028847982,0.232500323712317,0.355702479544475,0.276275949262414,0.203525096665401,0.582984168854997,0.149747726808786,-0.0739448887675864,-0.469905546562975,0.637743956482398,-0.342034014906382,-0.618561081816043,-0.149399902927346
67,45.6738136973791,4.54146369456139,4.54146369425476,4.54146369445964,4.5414636950338,4.5414636949712,4.54146369552461,4.54146369404972,4.54146369468201,-1.74172161190812,4.54146369478437,0.202809778331804,0.76846471380088,-0.152028703425323,-0.480995911522638,-0.0974092474415896,-0.287488113615472,0.451252355239696,0.749668068815243,0.232088302505026,0.356253859221991,0.276619176011991,0.203618713512376,0.582643082575351,0.149307270290187,-0.0738201812145841,-0.469424004932368,0.638018214878098,-0.342260721167661,-0.618571339840755,-0.14969874701897
68,46.8273204925209,4.54146369464553,4.54146369447036,4.54146369458868,4.54146369491772,4.54146369488037,4.54146369519601,4.54146369435122,4.54146369471682,-1.74172161212701,4.5414636947738,0.203132383728401,0.768550487743665,-0.152345223043918,-0.480991583534031,-0.0967273785244624,-0.287755649075285,0.451023274722282,0.749770655041539,0.231620424298511,0.356337710552915,0.27645921677057,0.203730785605176,0.582285318803399,0.148998592650998,-0.07354562883715,-0.469080525583024,0.638385592394493,-0.342539952411426,-0.618598753103475,-0.149663183195897
69,47.9766178745531,4.54146369469531,4.5414636945971,4.54146369466406,4.54146369484888,4.54146369482702,4.54146369500363,4.54146369452929,4.54146369473641,-1.74172161225565,4.54146369476752,0.203567762345966,0.768622465775652,-0.152560455098897,-0.480988827989002,-0.096453950920046,-0.288033839905571,0.45069136040616,0.749694257458342,0.231263858629238,0.356812471207773,0.276752529350315,0.203812240811277,0.581988788537348,0.148621020387699,-0.0734358191443762,-0.468666258421484,0.638625051426569,-0.342739274167204,-0.618606397408603,-0.149920418277878
70,49.1652747663285,4.54146369472359,4.54146369466901,4.54146369470656,4.54146369480951,4.5414636947969,4.5414636948949,4.54146369463079,4.54146369474706,-1.74172161232863,4.54146369476392,0.203845329058018,0.768699845286643,-0.152840469456572,-0.480985708477617,-0.0958337555202008,-0.288261090855594,0.45049296090577,0.749794895644301,0.230848264235563,0.356854831089305,0.276576277571361,0.203912320151131,0.581670433023829,0.148360767724577,-0.0731825775351717,-0.468374327831072,0.638958078551233,-0.342991204955967,-0.618629894250671,-0.149868409355586
71,50.3703240554364,4.54146369473917,4.54146369470847,4.54146369472975,4.54146369478775,4.54146369478042,4.54146369483544,4.54146369468671,4.54146369475267,-1.74172161236866,4.54146369476193,0.204229709908346,0.768759213356836,-0.153004468712971,-0.480983266084903,-0.0956661122064598,-0.28849097840397,0.450196651567016,0.749705581253432,0.2305653623168,0.35730340891549,0.276880564162412,0.203977082030434,0.581429735618282,0.148038486233796,-0.0731114477606692,-0.468019523032501,0.6391424123516,-0.343147946859639,-0.61863347047699,-0.150124429173061
72,51.553187645414,4.54146369474778,4.54146369473029,4.54146369474251,4.54146369477564,4.54146369477135,4.54146369480267,4.54146369471775,4.54146369475565,-1.7417216123908,4.54146369476083,0.204440887050632,0.768822969998875,-0.153234621701245,-0.480981580492052,-0.0951311770633031,-0.288665894997595,0.450046074146743,0.749805028896272,0.230223998007901,0.357289418063389,0.276684917517227,0.204060256424696,0.581168856652508,0.147843859008363,-0.0728899240388412,-0.467798215118216,0.639423936475369,-0.343357597078636,-0.618653420543366,-0.150051206205441
73,52.7085401933832,4.54146369475275,4.54146369474282,4.5414636947498,4.54146369476864,4.54146369476614,4.5414636947839,4.54146369473563,4.54146369475731,-1.74172161240352,4.54146369476018,0.204767630072604,0.768871867402552,-0.15336329301406,-0.48097956466458,-0.0950151393990991,-0.288852873093244,0.449793076489245,0.749723318939672,0.229995713489467,0.357674365687061,0.276952650398853,0.204113332793527,0.580972008911532,0.147577679978244,-0.0728364405573202,-0.467503285095234,0.639571836215862,-0.343483070534238,-0.61865602762595,-0.150277221391614
74,53.873194964699,4.54146369475563,4.54146369475005,4.541463694754,4.54146369476458,4.54146369476315,4.5414636947731,4.54146369474598,4.54146369475823,-1.74172161241085,4.54146369475981,0.204947779156404,0.76892717938675,-0.153560715708474,-0.48097904016048,-0.0945454490879979,-0.288999033882311,0.44966412007437,0.749815121387354,0.229700569661565,0.357644571082437,0.276764281257978,0.204186157493462,0.580745499058972,0.147417325989496,-0.0726388109874994,-0.467318213489404,0.639819719897839,-0.343664675236327,-0.618673767992089,-0.150206052898765
75,55.0605142690836,4.54146369475725,4.54146369475413,4.54146369475635,4.54146369476228,4.54146369476146,4.54146369476702,4.54146369475183,4.54146369475873,-1.74172161241499,4.5414636947596,0.205243018223703,0.768968026659623,-0.153660260661093,-0.480977438019717,-0.0944858438044056,-0.289158237290022,0.449434397091109,0.749729678890376,0.229514574664781,0.358007186155261,0.277031120066928,0.204230222551505,0.580581041200282,0.147185084578356,-0.0726052031410157,-0.467059078853522,0.639936583864825,-0.343763897169439,-0.618675473730468,-0.150428936273787
76,56.2537466073082,4.54146369475815,4.54146369475639,4.54146369475765,4.541463694761,4.54146369476053,4.54146369476367,4.54146369475508,4.541463694759,-1.74172161241728,4.54146369475948,0.205378958433179,0.769014534955267,-0.153829348427178,-0.480978129490291,-0.0940573993640267,-0.289272736578677,0.449338638023064,0.749826639398794,0.229262701134979,0.357931243824506,0.276818163676825,0.204293581928729,0.580388693451812,0.147067188081006,-0.0724224490538777,-0.466919183311671,0.640155842912416,-0.343919567843194,-0.61869246580377,-0.150338340944611
77,57.4266517781206,4.54146369475866,4.54146369475765,4.54146369475837,4.54146369476028,4.54146369476001,4.5414636947618,4.5414636947569,4.54146369475914,-1.74172161241856,4.54146369475941,0.205634710492083,0.769046518519476,-0.15390019902842,-0.480977023902485,-0.0940474698597361,-0.28940223704917,0.449139009179982,0.749742169128799,0.229120407786077,0.358259216643011,0.277072802187628,0.204328201735828,0.580258753608794,0.146873319830482,-0.0724069340285201,-0.466701100162478,0.640241283410158,-0.343991659497898,-0.618693732634201,-0.150549471356129
78,58.5892699872363,4.54146369475895,4.54146369475838,4.54146369475879,4.54146369475987,4.54146369475971,4.54146369476072,4.54146369475795,4.54146369475923,-1.7417216124193,4.54146369475938,0.205744496079541,0.769085356771863,-0.154042427335154,-0.480978668401858,-0.0936735996506207,-0.289494245688461,0.44906239321544,0.749832976489621,0.228907243029519,0.358171577399727,0.276868060399042,0.204382893531794,0.580095569431431,0.146782780937486,-0.0722446840478132,-0.466590307499886,0.64043144530194,-0.344122455827174,-0.618709615753601,-0.150462223379556
79,59.7598941203646,4.54146369475911,4.54146369475879,4.54146369475902,4.54146369475963,4.54146369475954,4.54146369476011,4.54146369475855,4.54146369475927,-1.74172161241972,4.54146369475935,0.205974166276471,0.76911144209523,-0.154095129150728,-0.480978074530139,-0.0936923352795023,-0.289604168154296,0.448883117858694,0.749751461823186,0.228792481000811,0.35847213996989,0.277109391360352,0.204411910198826,0.579987390474874,0.146615088796059,-0.0722386719968349,-0.466399655397016,0.640497915603142,-0.344176730008356,-0.618711313238392,-0.15066386269899
80,60.9460784515269,4.54146369475921,4.54146369475903,4.54146369475916,4.5414636947595,4.54146369475945,4.54146369475977,4.54146369475889,4.5414636947593,-1.74172161241996,4.54146369475934,0.206057466078752,0.769144450712829,-0.15421971531981,-0.480980701876931,-0.0933443694755157,-0.289677331791783,0.448826869049056,0.749845655179924,0.228606090198871,0.358356689154223,0.276890390760903,0.204460873593919,0.579845225671555,0.146550282530284,-0.0720855000187407,-0.466315931905154,0.640670310566279,-0.344290340452471,-0.618727305838966,-0.150566541813945
81,62.1289201165292,4.54146369475926,4.54146369475916,4.54146369475923,4.54146369475942,4.5414636947594,4.54146369475958,4.54146369475908,4.54146369475931,-1.74172161242009,4.54146369475934,0.206264099971554,0.76916419697233,-0.154252112403884,-0.480980490725793,-0.0934030797848338,-0.28976894517847,0.44866541359091,0.749761669296639,0.228521653772369,0.358642696398795,0.277133202191875,0.204483328219056,0.579760573928372,0.146405556895487,-0.0720942059422298,-0.466149815131944,0.640713716089035,-0.344324659655484,-0.618728893505304,-0.1507673399952
82,63.3004497754189,4.54146369475929,4.54146369475923,4.54146369475927,4.54146369475938,4.54146369475937,4.54146369475947,4.54146369475919,4.54146369475932,-1.74172161242016,4.54146369475933,0.206325488479375,0.769191401185007,-0.154358338222511,-0.480983878157163,-0.093089295211637,-0.289825530704598,0.448625876854437,0.749854300261305,0.228362666447074,0.358512410978328,0.276913665673542,0.20452615617041,0.579639561437783,0.146362019682728,-0.0719539823635491,-0.466088822793569,0.640865956563925,-0.344420322490067,-0.618744587867602,-0.150668180919936
83,64.4665746819876,4.5414636947593,4.54146369475927,4.5414636947593,4.54146369475936,4.54146369475935,4.54146369475941,4.54146369475925,4.54146369475932,-1.7417216124202,4.54146369475933,0.206510588413314,0.769206554573871,-0.154378046437293,-0.480984140223777,-0.0931653925453673,-0.289902523299226,0.448481617713545,0.749774542797401,0.228298250249125,0.358773650668024,0.277142170657496,0.204544525404658,0.579571084377382,0.146237668289277,-0.0719684072851766,-0.465944197309693,0.640895896499356,-0.34444144131069,-0.618746833311592,-0.150859002917354
84,65.6421211276685,4.54146369475931,4.5414636947593,4.54146369475931,4.54146369475934,4.54146369475934,4.54146369475937,4.54146369475928,4.54146369475932,-1.74172161242023,4.54146369475933,0.206556238912036,0.769229463897794,-0.154471181724589,-0.480988250724135,-0.0928747436040974,-0.289947094901721,0.448454334184266,0.749867079841678,0.228158627905755,0.358630628122631,0.276919994575771,0.204583169247661,0.579464944254438,0.146209951006345,-0.0718364687146431,-0.465899767422806,0.641034348389109,-0.344523898973169,-0.61876269930046,-0.150758109968583
85,66.8236983019682,4.54146369475932,4.54146369475931,4.54146369475932,4.54146369475934,4.54146369475933,4.54146369475935,4.5414636947593,4.54146369475932,-1.74172161242024,4.54146369475933,0.206727319815621,0.769240356709726,-0.154477732189354,-0.480988828811472,-0.0929773302342509,-0.290012734151372,0.448321211777464,0.749785544261935,0.228113751695841,0.35888354303548,0.27715071368003,0.20459739174184,0.579411526826587,0.146099870271342,-0.071860416766589,-0.465770258941022,0.641049256633941,-0.344531597912319,-0.618765161951928,-0.150949860488217
86,68.0023788051975,4.54146369475932,4.54146369475932,4.54146369475932,4.54146369475933,4.54146369475933,4.54146369475934,4.54146369475931,4.54146369475933,-1.74172161242025,4.54146369475933,0.206756249362792,0.769259347473452,-0.154559671370174,-0.480993557312127,-0.0927043240214708,-0.290045934665694,0.448307035415208,0.749879606532107,0.227991455554589,0.358724894940933,0.276921995524786,0.204632182149121,0.579319088307626,0.146087607359132,-0.0717350817094083,-0.465742305896976,0.641175634160055,-0.344602550545292,-0.618781191383867,-0.150843914871514
87,69.1725134422211,4.54146369475932,4.54146369475932,4.54146369475932,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475932,4.54146369475933,-1.74172161242025,4.54146369475933,0.206912069904624,0.769266760152308,-0.154556743565028,-0.480994465068791,-0.0928213031545313,-0.290101315851924,0.448186198665956,0.749800286365771,0.227961594350816,0.358962020110415,0.27714497741393,0.204643250643927,0.579277759135767,0.145991639299544,-0.0717640638826891,-0.465627839289191,0.641179967765771,-0.344600201369915,-0.618784101063143,-0.151029925560338
88,70.3431582280195,4.54146369475932,4.54146369475932,4.54146369475932,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475932,4.54146369475933,-1.74172161242026,4.54146369475933,0.206930776589218,0.769282510774903,-0.15462869914604,-0.480999687634039,-0.0925682020994413,-0.290126311450038,0.448180034718952,0.749892755500199,0.227853939504854,0.358797985151049,0.276918691299141,0.204674792997219,0.579196450137839,0.14598971138702,-0.071646095011516,-0.465610781640834,0.641295296001001,-0.344660916817364,-0.618800212030915,-0.150925473227927
89,71.519017361138,4.54146369475933,4.54146369475932,4.54146369475932,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475932,4.54146369475933,-1.74172161242026,4.54146369475933,0.207076406327009,0.769287063327267,-0.154617633853119,-0.481000878996613,-0.0926998762799846,-0.290174056222745,0.448067514500358,0.749813707461657,0.227836425540154,0.359026430105634,0.277139722116846,0.204683319072043,0.579164762308979,0.145903849969974,-0.0716801027418528,-0.465506947817606,0.641290500721617,-0.344649906324202,-0.618803532646131,-0.151110201566005
90,72.6985304435502,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475932,4.54146369475933,-1.74172161242026,4.54146369475933,0.207083674312907,0.769300214358512,-0.154682617137966,-0.481006591392893,-0.0924565635991183,-0.290191562702569,0.44807047136022,0.749908073263484,0.227739717079885,0.358850286367154,0.276907091173578,0.204712448360198,0.579092186267391,0.145912394846724,-0.071565678131595,-0.465500970542292,0.641398494194083,-0.34470314834472,-0.618819946015989,-0.151001408713714
91,73.8735791028123,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,-1.74172161242026,4.54146369475933,0.207219866506784,0.7693022490366,-0.15466445323918,-0.481007976722198,-0.092601201479792,-0.290232592317716,0.447965599425404,0.749829139470107,0.227733215132772,0.359071256096835,0.277126702250069,0.204718616178384,0.57906919352733,0.145835369586727,-0.0716043852381627,-0.465406631667075,0.641385396709306,-0.344684617890957,-0.618823505764873,-0.151184674597086
92,75.0451767029381,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,-1.74172161242026,4.54146369475933,0.207219578451381,0.769313088776531,-0.154722493322757,-0.481014030442034,-0.0923716976531464,-0.290244319210308,0.447974516216086,0.749922462441176,0.227646862897907,0.358891133754781,0.276895678431477,0.204745389406976,0.579004566869071,0.145851198714555,-0.0714952074750026,-0.465408423776116,0.641485514917188,-0.344730622229222,-0.618839975742295,-0.151076656022968
93,76.2173001673699,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,4.54146369475933,-1.74172161242026,4.54146369475933,0.207347754682404,0.769313174111541,-0.154699273070949,-0.481015642800235,-0.0925238821959268,-0.290279943220136,0.447876265620987,0.749844912248708,0.227648353658974,0.359103382874249,0.277110954789212,0.204749937767233,0.578987967404086,0.14578171818295,-0.0715363595746949,-0.465322050618298,0.641466822180659,-0.344706509468361,-0.618843939141461,-0.151257078427662
