t,x0,x1
48.54,75.59087435933132,2.227778998762985
48.55,75.61314220039698,2.2257551008165284
48.56,75.63538873938653,2.223513991818274
48.57,75.65761180565602,2.221056957358107
48.58,75.67980922856145,2.2183852830259156
48.59,75.70197883667375,2.2155002662276884
48.6,75.72411848893597,2.212403569099128
48.61,75.74622612191268,2.2090972674652853
48.620000000000005,75.76829968144823,2.2055834582893805
48.63,75.79033711338687,2.2018642385346423
48.64,75.812336363573,2.1979417051642915
48.65,75.83429537785089,2.193817955141552
48.66,75.85621210331104,2.1894951130862426
48.67,75.8780845582782,2.1849756905890816
48.68,75.89991085151127,2.1802624678853597
48.69,75.92168909689191,2.175358229050809
48.7,75.94341740830187,2.170265758161157
48.71,75.9650938996228,2.164987839292142
48.72,75.98671668473642,2.159527256519493
48.73,76.00828388492839,2.153886840873763
48.74,76.02979373589997,2.148069771459062
48.75,76.05124455952426,2.142079364589979
48.76,76.07263467959937,2.1359189353382058
48.77,76.09396241992341,2.12959179877543
48.78,76.11522610429446,2.123101269973352
48.79,76.13642405651063,2.1164506640036596
48.8,76.15755461975374,2.109643358617813
48.81,76.17861628810996,2.1026829857381775
48.82,76.199607625476,2.0955732201043475
48.83,76.22052719609282,2.088317735560035
48.84,76.2413735642014,2.0809202059489462
48.85,76.26214529404268,2.073384305114804
48.86,76.28284094985766,2.0657137069013145
48.870000000000005,76.30345913400545,2.057912151120064
48.88,76.32399862123182,2.04998350480593
48.89,76.34445823484751,2.041931627822843
48.9,76.36483679816482,2.0337603800167434
48.91,76.38513313449609,2.0254736212335636
48.92,76.40534606715357,2.017075211319254
48.93,76.42547441953981,2.0085690106597074
48.94,76.44551707815687,1.999958926045617
48.95,76.46547310299277,1.9912488660093024
48.96,76.48534158359084,1.982442716475863
48.97,76.50512160949435,1.9735443633703795
48.98,76.52481227024666,1.9645576926179331
48.99,76.54441265539103,1.9554865901436231
49.0,76.56392185431046,1.946334944324336
49.01,76.58333902857672,1.9371066540093331
49.02,76.60266351954701,1.9278055119935509
49.03,76.62189469406306,1.9184352832339224
49.04,76.64103191896672,1.9089997326873611
49.05,76.66007456109975,1.8995026253107816
49.06,76.67902198730395,1.889947726061116
49.07,76.6978735644211,1.880338799895279
49.08,76.71662867511785,1.8706796102842855
49.09,76.73528686634702,1.8609737999209817
49.1,76.7538477814653,1.8512248832491929
49.11,76.77231106498971,1.8414363702381131
49.120000000000005,76.79067636143726,1.831611770856936
49.13,76.80894331532494,1.8217545950748768
49.14,76.82711157116974,1.811868352861128
49.15,76.84518077351078,1.801956554213075
49.16,76.86315062345356,1.792022658374098
49.17,76.88102098981079,1.7820698926489955
49.18,76.89879177155201,1.7721014219699367
49.19,76.91646286764677,1.7621204112690971
49.2,76.93403417706462,1.7521300254786454
49.21,76.95150559877506,1.7421334295307715
49.22,76.96887703174765,1.732133788357644
49.23,76.98614837957619,1.7221342624233646
49.24,77.00331965516087,1.7121378454667815
49.25,77.02039097928495,1.7021473199499808
49.26,77.03736247700368,1.692165454835196
49.27,77.05423427337222,1.6821950190846533
49.28,77.07100649344575,1.6722387816605997
49.29,77.08767926227947,1.6622995115252617
49.3,77.10425270492857,1.6523799776408643
49.31,77.12072697003228,1.6424829094687443
49.32,77.1371023355866,1.6326107718906646
49.33,77.15337912177735,1.6227659211498793
49.34,77.1695576487244,1.612950713158775
49.35,77.18563823654769,1.60316750382976
49.36,77.20162120536709,1.593418649075221
49.370000000000005,77.21750687530253,1.5837065048075445
49.38,77.2332955670783,1.5740334260180615
49.39,77.24898765881444,1.5644016424459743
49.4,77.26458362583463,1.5548131352393053
49.41,77.28008395210367,1.5452698564474336
49.42,77.2954891215863,1.5357737581197584
49.43,77.31079961824727,1.5263267923056585
49.44,77.32601592605138,1.5169309110545193
49.45,77.34113852896338,1.5075880664157202
49.46,77.35616791829466,1.4983001935964864
49.47,77.37110466539956,1.489069014991997
49.48,77.3859493879908,1.479896109187839
49.49,77.40070270409407,1.4707830522239798
49.5,77.41536523173508,1.4617314201403655
49.51,77.42993758893951,1.4527427889769506
49.52,77.44442039373304,1.4438187347736822
49.53,77.45881426414135,1.4349608335705266
49.54,77.47311984143637,1.4261705968180476
49.55,77.48733783842901,1.4174493111937303
49.56,77.5014689800362,1.408798216268236
49.57,77.51551399117403,1.4002185516136436
49.58,77.52947359675862,1.3917115568020384
49.59,77.54334852170605,1.3832784714055002
49.6,77.55713949093243,1.3749205349961262
49.61,77.57084722898581,1.3666389898834324
49.620000000000005,77.58447248610727,1.3584350011966344
49.63,77.59801607261166,1.350309510990553
49.64,77.61147880583097,1.3422634325790133
49.65,77.62486150309716,1.3342976792758463
49.66,77.63816498174222,1.326413164394877
49.67,77.65139005909809,1.3186108012499478
49.68,77.66453755249677,1.3108915031548838
49.69,77.6776082792702,1.303256183423516
49.7,77.69060305675039,1.2957057553696696
49.71,77.70352271481103,1.2882410872801937
49.72,77.71636813882463,1.2808628349969964
49.73,77.72914021495701,1.2735716380420556
49.74,77.74183982824405,1.2663681396173236
49.75,77.75446786372167,1.2592529829247374
49.76,77.7670252064258,1.252226811166239
49.77,77.77951274139235,1.245290267543765
49.78,77.7919313536572,1.2384439952592678
49.79,77.80428193465859,1.231688612976136
49.8,77.81656540590883,1.225024609333287
49.81,77.82878269589268,1.2184524340697616
49.82,77.8409347329989,1.211972537125285
49.83,77.85302244561622,1.2055853684395883
49.84,77.86504676213342,1.1992913779523973
49.85,77.87700861093921,1.1930910156034515
49.86,77.88890892042237,1.1869847313324775
49.870000000000005,77.90074862484275,1.1809729488655616
49.88,77.91252867862048,1.1750559908056808
49.89,77.92425003929723,1.1692341585708936
49.9,77.93591366439324,1.1635077536466565
49.91,77.94752051142876,1.1578770775184215
49.92,77.95907153792402,1.1523424316716533
49.93,77.97056770139926,1.1469041175918044
49.94,77.98200995937474,1.1415624367643271
49.95,77.99339927497051,1.1363176631945022
49.96,78.00473662419468,1.13116999678287
49.97,78.0160229839088,1.1261196278228287
49.98,78.02725933097442,1.121166746607778
49.99,78.03844664225306,1.1163115434311273
50.0,78.04958589460632,1.1115542085862755
